lemme;upos;freqlemfilms;freqlemlivres
location;NOM;5,51;5,34
menthe;NOM;5,51;9,53
premièrement;ADV;5,51;1,76
sombrer;VER;5,51;19,32
chuter;VER;5,50;2,77
conserve;NOM;5,50;14,26
martyr;NOM;5,50;6,76
metteur;NOM;5,50;7,70
motiver;VER;5,50;2,43
ouh;ONO;5,50;1,28
ouvrage;NOM;5,50;37,30
rhabiller;VER;5,50;9,53
volcan;NOM;5,50;5,34
estime;NOM;5,49;16,89
institut;NOM;5,49;4,53
interprétation;NOM;5,49;7,77
méditer;VER;5,49;14,86
seuil;NOM;5,49;49,86
élu;ADJ;5,49;4,73
manuscrit;NOM;5,48;17,36
relaxer;VER;5,48;0,74
transparent;ADJ;5,48;30,81
croisière;NOM;5,47;5,81
d;ADJ:num;5,47;1,82
détente;NOM;5,47;10,68
sage;NOM;5,47;7,43
syndrome;NOM;5,47;0,81
africain;ADJ;5,46;12,09
armure;NOM;5,46;8,11
paresseux;ADJ;5,46;10,34
portant;ADJ;5,46;9,73
purger;VER;5,46;3,24
rivage;NOM;5,46;17,23
simuler;VER;5,46;6,22
alias;ADV;5,45;3,85
finale;NOM;5,45;2,84
pieu;NOM;5,45;5,34
vaillant;ADJ;5,45;8,58
déterrer;VER;5,44;3,51
l;NOM;5,44;0,54
avorter;VER;5,43;4,32
contre;NOM;5,43;5,81
idole;NOM;5,43;10,07
rite;NOM;5,43;17,84
ghetto;NOM;5,42;3,24
nage;NOM;5,42;6,28
olive;NOM;5,42;8,85
plâtre;NOM;5,42;15,81
alerte;ONO;5,41;0,81
hypocrite;NOM;5,41;2,91
jaffer;VER;5,41;0,20
néné;NOM;5,41;3,04
pondre;VER;5,41;6,82
sang-froid;NOM;5,41;9,26
séparé;ADJ;5,41;7,30
trafiquant;NOM;5,41;3,38
brandir;VER;5,40;22,09
carrefour;NOM;5,40;35,95
abominable;ADJ;5,39;11,22
commando;NOM;5,39;6,82
galant;ADJ;5,39;5,81
gazer;VER;5,39;1,82
z;NOM;5,39;5,07
brin;NOM;5,38;19,26
dispositif;NOM;5,38;5,74
démocratique;ADJ;5,38;5,74
favorable;ADJ;5,38;16,62
lesbien;NOM;5,38;0,41
survoler;VER;5,38;6,22
agité;ADJ;5,37;9,86
culte;NOM;5,37;14,93
démerder;VER;5,37;6,42
mou,mol;ADJ;5,37;34,53
piaillement;NOM;5,37;2,57
ramer;VER;5,37;6,42
toutefois;ADV;5,37;35,47
étable;NOM;5,37;9,46
indic;NOM;5,36;1,35
peloter;VER;5,36;3,38
prophétie;NOM;5,36;3,51
rendormir;VER;5,36;8,31
rendu;ADJ;5,36;14,73
scie;NOM;5,36;10,07
signor;NOM;5,36;2,64
envoyé;NOM;5,35;6,15
mime;NOM;5,35;1,08
parfait;NOM;5,35;4,93
semblable;NOM;5,35;13,31
aboutir;VER;5,34;25,81
blanchir;VER;5,34;12,23
culpabiliser;VER;5,34;0,47
fabrique;NOM;5,34;7,03
imaginaire;ADJ;5,34;19,32
impitoyable;ADJ;5,34;10,68
inaudible;ADJ;5,34;3,65
merdier;NOM;5,34;1,96
tortue;NOM;5,34;6,22
marron;ADJ;5,33;13,72
signé;ADJ;5,33;5,81
souverain;NOM;5,33;8,18
caresse;NOM;5,32;33,04
corrompre;VER;5,32;3,65
embarras;NOM;5,32;12,09
reporter;VER;5,32;7,70
concession;NOM;5,31;14,12
neutraliser;VER;5,31;2,97
tactique;NOM;5,31;6,69
enceinte;NOM;5,30;10,61
petite-fille;NOM;5,30;6,35
pic;NOM;5,30;12,43
réessayer;VER;5,30;0,14
acquitter;VER;5,29;6,82
arrogant;ADJ;5,29;4,05
basculer;VER;5,29;31,35
chimie;NOM;5,29;5,20
connasse;NOM;5,29;2,03
dortoir;NOM;5,29;12,36
scoop;NOM;5,29;1,22
battement;NOM;5,28;19,26
catholique;NOM;5,28;13,99
endommager;VER;5,28;1,82
je;NOM;5,28;0,00
opposition;NOM;5,28;11,49
pissou;NOM;5,28;0,07
poindre;VER;5,28;5,61
serre;NOM;5,28;6,62
torpille;NOM;5,28;1,62
verrou;NOM;5,28;12,03
dealer;VER;5,27;1,42
idiotie;NOM;5,27;2,97
insignifiant;ADJ;5,27;13,92
littéralement;ADV;5,27;10,95
prolonger;VER;5,27;35,00
protégé;NOM;5,27;6,28
cerise;NOM;5,26;10,07
spécimen;NOM;5,26;3,31
arc;NOM;5,25;17,30
cochonnerie;NOM;5,25;4,05
comparaison;NOM;5,25;13,72
madone;NOM;5,25;5,14
avortement;NOM;5,24;2,70
consigne;NOM;5,24;15,81
conspiration;NOM;5,24;2,91
informatique;ADJ;5,24;0,20
issu;ADJ;5,24;8,51
ohé;ONO;5,24;1,28
ouste;ONO;5,24;1,82
pomper;VER;5,24;4,59
réacteur;NOM;5,24;0,81
révérend;ADJ;5,24;0,74
sorcellerie;NOM;5,24;1,35
taquiner;VER;5,24;5,74
traduction;NOM;5,24;11,15
état-major;NOM;5,24;22,43
croquer;VER;5,23;12,64
fa;NOM;5,23;1,08
inconvénient;NOM;5,23;9,05
mollo;ADV;5,23;2,30
antibiotique;NOM;5,22;1,55
branleur;NOM;5,22;1,35
merdeux;NOM;5,22;1,82
relève;NOM;5,22;6,69
serein;ADJ;5,22;10,61
solo;NOM;5,22;3,38
bille;NOM;5,21;19,53
compréhensif;ADJ;5,21;4,93
coopération;NOM;5,21;6,96
cordon;NOM;5,21;12,23
envelopper;VER;5,21;46,49
maternel;ADJ;5,21;23,72
pagaille;NOM;5,21;4,80
soprano;NOM;5,21;2,03
tombé;ADJ;5,21;14,53
émouvant;ADJ;5,21;14,05
affectueux;ADJ;5,20;14,59
agenouiller;VER;5,20;23,31
boum;ONO;5,20;2,09
brune;NOM;5,20;7,77
chauve;NOM;5,20;5,47
chuchoter;VER;5,20;34,39
gaffer;VER;5,20;5,88
juridique;ADJ;5,20;2,50
rajeunir;VER;5,20;7,91
recommandation;NOM;5,20;8,85
toxique;ADJ;5,20;0,74
hospitaliser;VER;5,19;2,36
préservatif;NOM;5,19;0,47
aviation;NOM;5,18;13,72
cardinal;NOM;5,18;6,62
case;NOM;5,18;14,53
crampe;NOM;5,18;6,01
hourra;ONO;5,18;0,81
susceptible;ADJ;5,18;11,89
trappe;NOM;5,18;6,49
accourir;VER;5,17;19,05
cargo;NOM;5,17;7,09
chêne;NOM;5,17;23,51
cinquième;NOM;5,17;7,91
comique;NOM;5,17;3,92
exigence;NOM;5,17;17,36
poteau;NOM;5,17;13,04
trac;NOM;5,17;8,38
voisinage;NOM;5,17;10,41
gémissement;NOM;5,16;16,76
incompréhensible;ADJ;5,16;17,97
sortir;NOM;5,16;10,61
technicien;NOM;5,16;4,32
barbare;NOM;5,15;5,47
chandelle;NOM;5,15;12,57
junkie;NOM;5,15;1,42
neutre;ADJ;5,15;11,76
pépin;NOM;5,15;3,51
brigand;NOM;5,14;3,72
écharpe;NOM;5,14;13,92
artère;NOM;5,13;7,09
insensible;ADJ;5,13;12,16
obus;NOM;5,13;31,82
audace;NOM;5,12;19,46
collaboration;NOM;5,12;12,50
immonde;ADJ;5,12;6,28
ménager;VER;5,12;23,65
poêle;NOM;5,12;19,93
reporter;NOM;5,12;3,04
bouder;VER;5,11;8,04
fondateur;NOM;5,11;2,16
implant;NOM;5,11;0,14
magnétique;ADJ;5,11;3,38
marionnette;NOM;5,11;5,95
overdose;NOM;5,11;1,28
statistique;NOM;5,11;3,45
bagarrer;VER;5,10;2,23
bondir;VER;5,10;35,41
bronzer;VER;5,10;5,74
fléau;NOM;5,10;4,39
parade;NOM;5,10;11,22
pâtisserie;NOM;5,10;13,11
cru;ADJ;5,09;15,88
gâchette;NOM;5,09;1,82
intellectuel;NOM;5,09;15,27
lavage;NOM;5,09;3,24
loisir;NOM;5,09;20,81
légalement;ADV;5,09;2,03
passager;ADJ;5,09;6,82
universel;ADJ;5,09;15,14
aigu;ADJ;5,08;32,09
humiliant;ADJ;5,08;3,78
los;NOM;5,08;2,77
précédent;NOM;5,08;10,07
pudeur;NOM;5,08;20,07
saloon;NOM;5,08;0,47
vertueux;ADJ;5,08;3,78
bestiole;NOM;5,07;6,76
brume;NOM;5,07;42,57
dénicher;VER;5,07;8,78
inoubliable;ADJ;5,07;7,50
la plupart du;ADJ:ind;5,07;7,91
occidental;ADJ;5,07;15,61
opérationnel;ADJ;5,07;0,34
partant;ADJ;5,07;1,82
résonner;VER;5,07;31,96
pin;NOM;5,06;26,62
érotique;ADJ;5,06;8,85
étagère;NOM;5,06;16,69
ex-mari;NOM;5,05;1,08
labyrinthe;NOM;5,05;8,31
malsain;ADJ;5,05;9,05
repeindre;VER;5,05;6,96
coût;NOM;5,04;1,35
distingué;ADJ;5,04;9,39
embuscade;NOM;5,04;4,12
prudence;NOM;5,04;20,07
zombie;NOM;5,04;1,01
bassin;NOM;5,03;25,20
déplacement;NOM;5,03;11,49
manigancer;VER;5,03;1,35
roux;NOM;5,03;11,08
attaché;ADJ;5,02;7,23
marchand;ADJ;5,02;9,12
projecteur;NOM;5,02;12,91
ravi;ADJ;5,02;8,51
ressemblance;NOM;5,02;10,54
secte;NOM;5,02;4,19
sida;NOM;5,02;5,20
splendeur;NOM;5,02;14,59
citation;NOM;5,01;8,11
communion;NOM;5,01;13,04
hibou;NOM;5,01;2,97
louis;NOM;5,01;5,07
scier;VER;5,01;9,86
suisse;ADJ;5,01;10,27
allergie;NOM;5,00;0,61
bactérie;NOM;5,00;0,88
coque;NOM;5,00;12,64
fouille;NOM;5,00;11,28
glacier;NOM;5,00;3,72
instable;ADJ;5,00;4,93
liqueur;NOM;5,00;4,26
mâcher;VER;5,00;12,30
norme;NOM;5,00;3,78
pieux;ADJ;5,00;12,43
politesse;NOM;5,00;20,54
relevé;NOM;5,00;2,36
réservation;NOM;4,99;0,41
traite;NOM;4,99;6,22
brouhaha;NOM;4,98;9,66
déguisement;NOM;4,98;5,07
léguer;VER;4,98;5,61
manif;NOM;4,98;2,16
propagande;NOM;4,98;10,07
tablier;NOM;4,98;30,34
funeste;ADJ;4,97;4,86
morveux;NOM;4,97;2,43
raciste;ADJ;4,97;3,45
chauffage;NOM;4,96;6,08
commode;ADJ;4,96;17,16
désactiver;VER;4,96;0,41
emmerdeur;NOM;4,96;3,04
entrailles;NOM;4,96;13,45
fugitif;NOM;4,96;3,78
homard;NOM;4,96;5,34
pneumonie;NOM;4,96;0,81
rassemblement;NOM;4,96;8,24
slogan;NOM;4,96;6,96
égaler;VER;4,96;4,39
épater;VER;4,96;8,78
administrateur;NOM;4,95;4,73
casserole;NOM;4,95;22,84
définition;NOM;4,95;7,23
dégainer;VER;4,95;1,96
néanmoins;ADV;4,95;11,69
primaire;ADJ;4,95;5,54
pépé;NOM;4,95;16,96
relancer;VER;4,95;7,43
rédacteur;NOM;4,95;5,68
résider;VER;4,95;6,82
sabot;NOM;4,95;24,66
strictement;ADV;4,95;7,91
débris;NOM;4,94;13,85
gagnant;ADJ;4,94;1,89
pignon;NOM;4,94;8,31
salive;NOM;4,94;18,65
soulagement;NOM;4,94;21,22
toux;NOM;4,94;12,23
triple;ADJ;4,94;9,12
abaisser;VER;4,93;18,04
extra;NOM;4,93;1,55
flacon;NOM;4,93;19,46
ravin;NOM;4,93;11,35
souche;NOM;4,93;10,54
surnommer;VER;4,93;6,55
épier;VER;4,93;15,88
antiquité;NOM;4,92;6,55
carré;ADJ;4,92;27,77
coquille;NOM;4,92;13,45
divan;NOM;4,92;24,46
fi;ONO;4,92;4,66
imprévisible;ADJ;4,92;12,43
lever;NOM;4,92;9,12
zèle;NOM;4,92;10,68
éventuel;ADJ;4,92;13,18
affirmatif;ADJ;4,91;1,89
ana;NOM;4,91;0,14
immigration;NOM;4,91;0,81
pion;NOM;4,91;6,49
trébucher;VER;4,91;12,64
déserter;VER;4,90;11,28
handicapé;NOM;4,90;1,15
proverbe;NOM;4,90;4,19
smoking;NOM;4,90;4,53
socialisme;NOM;4,90;6,76
compléter;VER;4,89;14,39
marron;NOM;4,89;7,36
ému;ADJ;4,89;12,09
ajuster;VER;4,88;10,41
brusquement;ADV;4,88;111,42
colocataire;NOM;4,88;0,07
conjugal;ADJ;4,88;9,59
documentaire;NOM;4,88;0,95
déchiffrer;VER;4,88;15,81
entrepreneur;NOM;4,88;2,16
famine;NOM;4,88;6,76
monstre;ADJ;4,88;3,72
paroi;NOM;4,88;30,00
plaisant;ADJ;4,88;9,73
souterrain;ADJ;4,88;13,04
vieillesse;NOM;4,88;14,53
apocalypse;NOM;4,87;6,35
boulevard;NOM;4,87;61,15
catalogue;NOM;4,87;7,16
escalader;VER;4,87;15,34
est;ADJ;4,87;2,36
holà;ONO;4,87;1,62
infarctus;NOM;4,87;1,62
météorite;NOM;4,87;0,61
retrait;NOM;4,87;13,72
rigueur;NOM;4,87;40,34
teint;NOM;4,87;24,26
comique;ADJ;4,86;13,45
décréter;VER;4,86;10,74
mauviette;NOM;4,86;0,88
monastère;NOM;4,86;7,97
moralité;NOM;4,86;3,04
promo;NOM;4,86;0,34
rentré;ADJ;4,86;4,93
survenir;VER;4,86;15,54
égratignure;NOM;4,86;2,23
bavard;ADJ;4,85;12,30
bonhomme;ADJ;4,85;4,46
palace;NOM;4,85;7,77
rallumer;VER;4,85;8,99
roule;NOM;4,85;1,08
élargir;VER;4,85;19,32
abandon;NOM;4,84;27,36
amateur;ADJ;4,84;5,54
baptême;NOM;4,84;10,34
consolation;NOM;4,84;10,74
contester;VER;4,84;8,58
décourager;VER;4,84;15,47
détonateur;NOM;4,84;0,68
fatigant;ADJ;4,84;7,84
stabiliser;VER;4,84;1,42
vipère;NOM;4,84;5,41
hautement;ADV;4,83;4,73
lignée;NOM;4,83;5,07
miner;VER;4,83;10,47
rabbi;NOM;4,83;0,74
scandaleux;ADJ;4,83;8,31
sifflement;NOM;4,83;13,78
thomas;NOM;4,83;25,81
toc;ADJ;4,83;7,09
villageois;NOM;4,83;2,91
abonnement;NOM;4,82;1,62
back;NOM;4,82;0,74
cabaret;NOM;4,82;6,69
hypocrite;ADJ;4,82;6,49
naze;ADJ;4,82;1,55
pente;NOM;4,82;49,66
viril;ADJ;4,82;10,68
compteur;NOM;4,81;5,95
coursier;NOM;4,81;2,64
homosexualité;NOM;4,81;2,57
interprète;NOM;4,81;8,58
motivation;NOM;4,81;1,28
puzzle;NOM;4,81;11,82
réapparaître;VER;4,81;12,23
flamber;VER;4,80;13,99
intrigue;NOM;4,80;13,18
mobile;ADJ;4,80;12,64
paperasse;NOM;4,80;5,74
poney;NOM;4,80;1,01
semence;NOM;4,80;5,27
spécifique;ADJ;4,80;1,96
accompli;ADJ;4,79;10,54
croître;VER;4,79;10,34
défunt;ADJ;4,79;5,27
dévoué;ADJ;4,79;6,08
excessif;ADJ;4,79;15,54
parachute;NOM;4,79;3,58
pelouse;NOM;4,79;19,39
préjugé;NOM;4,79;10,61
succomber;VER;4,79;9,66
titi;NOM;4,79;6,28
pendule;NOM;4,78;11,82
alentour;NOM;4,77;9,12
approprié;ADJ;4,77;3,38
distribution;NOM;4,77;8,85
duper;VER;4,77;2,70
gésir;VER;4,77;15,68
loser;NOM;4,77;0,07
planning;NOM;4,77;0,81
sofa;NOM;4,77;5,68
audacieux;ADJ;4,76;7,03
bandage;NOM;4,76;2,97
caser;VER;4,76;7,70
compatriote;NOM;4,76;9,05
conditionnel;ADJ;4,76;0,74
dissiper;VER;4,76;19,59
domestique;ADJ;4,76;11,42
grue;NOM;4,76;6,22
impoli;ADJ;4,76;0,68
piment;NOM;4,76;4,66
suédois;NOM;4,76;2,64
abus;NOM;4,75;8,58
ancre;NOM;4,75;5,81
athlète;NOM;4,75;4,32
bougre;NOM;4,75;11,22
classé;ADJ;4,75;2,70
fournisseur;NOM;4,75;4,39
gel;NOM;4,75;6,69
irlandais;ADJ;4,75;3,78
méga;ADJ;4,75;0,81
nul;NOM;4,75;2,50
partisan;NOM;4,75;12,97
paupière;NOM;4,75;63,45
pourcentage;NOM;4,75;2,43
rival;NOM;4,75;10,20
réconfort;NOM;4,75;6,42
arrêté;ADJ;4,74;10,68
bossu;NOM;4,74;1,82
dérailler;VER;4,74;3,18
house;NOM;4,74;0,27
manquant;ADJ;4,74;2,23
sainteté;NOM;4,74;5,54
tempérament;NOM;4,74;9,93
agitation;NOM;4,73;21,35
dot;NOM;4,73;4,59
héroïque;ADJ;4,73;11,28
rechange;NOM;4,73;2,77
vibrer;VER;4,73;24,53
allusion;NOM;4,72;31,15
intituler;VER;4,72;9,53
présider;VER;4,72;10,61
souligner;VER;4,72;22,57
vaguement;ADV;4,72;51,76
dauphin;NOM;4,71;11,82
dévouer;VER;4,71;5,81
faille;NOM;4,71;9,59
fossé;NOM;4,71;26,42
métaphore;NOM;4,71;3,31
parlement;NOM;4,71;5,68
performance;NOM;4,71;4,19
renouveler;VER;4,71;19,39
sérénité;NOM;4,71;12,91
bof;ONO;4,70;2,84
cambrioleur;NOM;4,70;2,36
coriace;ADJ;4,70;2,57
cynique;ADJ;4,70;6,42
der;NOM;4,70;3,92
grandiose;ADJ;4,70;10,00
méprendre;VER;4,70;6,15
bond;NOM;4,69;25,74
fondamental;ADJ;4,69;9,19
hormone;NOM;4,69;0,68
miséricordieux;ADJ;4,69;1,76
notaire;NOM;4,69;17,23
sabotage;NOM;4,69;2,97
sélection;NOM;4,69;2,64
trauma;NOM;4,69;0,47
ulcère;NOM;4,69;2,50
virgule;NOM;4,69;4,73
yuan;NOM;4,69;0,00
agonie;NOM;4,68;14,59
conservatoire;NOM;4,68;2,97
escadron;NOM;4,68;8,78
poli;ADJ;4,68;16,69
tranquillité;NOM;4,68;11,01
aliment;NOM;4,67;6,62
autobus;NOM;4,67;26,28
cathédrale;NOM;4,67;21,28
céréale;NOM;4,67;1,69
enjeu;NOM;4,67;4,59
gêné;ADJ;4,67;16,82
irrésistible;ADJ;4,67;15,34
mutant;NOM;4,67;0,81
plastique;ADJ;4,67;6,96
utilisation;NOM;4,67;4,26
clean;ADJ;4,66;0,74
importuner;VER;4,66;3,38
lentille;NOM;4,66;8,24
once;NOM;4,66;1,89
pourchasser;VER;4,66;4,93
projection;NOM;4,66;6,69
dû;ADJ;4,65;6,82
jeep;NOM;4,65;2,97
révolter;VER;4,65;10,81
amertume;NOM;4,64;19,39
branché;ADJ;4,64;1,42
cadet;ADJ;4,64;3,18
demi;NOM;4,64;9,80
gringo;NOM;4,64;0,00
immatriculation;NOM;4,64;0,95
pénal;ADJ;4,64;3,38
réveillon;NOM;4,64;5,07
sondage;NOM;4,64;2,16
chargeur;NOM;4,63;3,72
forcé;ADJ;4,63;13,51
imminent;ADJ;4,63;7,64
routier;ADJ;4,63;4,26
thune;NOM;4,63;5,68
vocal;ADJ;4,63;3,72
allier;VER;4,62;7,97
clarté;NOM;4,62;30,68
clos;ADJ;4,62;19,46
coffre-fort;NOM;4,62;3,92
croisé;ADJ;4,62;17,23
longue;NOM;4,62;15,95
orange;ADJ;4,62;10,14
qualifié;ADJ;4,62;3,78
trip;NOM;4,62;1,22
truquer;VER;4,62;3,45
batteur;NOM;4,61;3,99
intrusion;NOM;4,61;3,78
recrue;NOM;4,61;3,85
sexuellement;ADV;4,61;0,88
sifflet;NOM;4,61;17,91
vigilant;ADJ;4,61;4,66
collectif;ADJ;4,60;15,68
couché;NOM;4,60;2,91
emballage;NOM;4,60;6,08
façade;NOM;4,60;46,76
gouvernante;NOM;4,60;4,73
informatique;NOM;4,60;0,81
ranger;NOM;4,60;3,38
stimuler;VER;4,60;4,05
tuteur;NOM;4,60;2,36
compenser;VER;4,59;9,32
complication;NOM;4,59;8,38
consultation;NOM;4,59;8,24
courtoisie;NOM;4,59;8,18
cramer;VER;4,59;2,97
discrétion;NOM;4,59;21,22
gigantesque;ADJ;4,59;21,69
grands-parents;NOM;4,59;9,19
hurlement;NOM;4,59;20,95
mécanisme;NOM;4,59;10,34
pinceau;NOM;4,59;17,91
pourri;NOM;4,59;4,26
temporel;ADJ;4,59;1,82
téton;NOM;4,59;1,76
canot;NOM;4,58;9,19
deuxièmement;ADV;4,58;0,88
impulsion;NOM;4,58;8,38
injure;NOM;4,58;16,69
maquette;NOM;4,58;3,92
peupler;VER;4,58;19,66
porte-bonheur;NOM;4,58;1,08
solennel;ADJ;4,58;19,66
broche;NOM;4,57;5,74
engloutir;VER;4,57;22,30
fragment;NOM;4,57;15,88
ouf;ONO;4,57;7,03
palmier;NOM;4,57;14,26
annuaire;NOM;4,56;3,78
bêtement;ADV;4,56;11,28
indiscret;ADJ;4,56;8,45
préférable;ADJ;4,56;7,70
éthique;NOM;4,56;1,08
chômeur;NOM;4,55;4,39
collaborateur;NOM;4,55;11,49
formel;ADJ;4,55;9,05
intendant;NOM;4,55;4,73
répugner;VER;4,55;10,34
admiration;NOM;4,54;32,70
ballade;NOM;4,54;1,22
dépouiller;VER;4,54;20,54
entretuer;VER;4,54;0,34
filtre;NOM;4,54;2,64
fiscal;ADJ;4,54;1,22
gracieux;ADJ;4,54;15,81
offrande;NOM;4,54;6,89
proprement;ADV;4,54;16,22
suture;NOM;4,54;0,68
violation;NOM;4,54;1,96
bouillant;ADJ;4,53;8,11
israélien;NOM;4,53;1,08
lié;ADJ;4,53;5,14
songe;NOM;4,53;21,28
abstenir;VER;4,52;8,78
aspirateur;NOM;4,52;3,31
latin;ADJ;4,52;12,64
lutz;NOM;4,52;0,14
persécuter;VER;4,52;4,19
raté;ADJ;4,52;4,05
bunker;NOM;4,51;0,81
furax;ADJ;4,51;0,81
homo;NOM;4,51;0,95
prétentieux;ADJ;4,51;5,95
réduction;NOM;4,51;3,18
résolution;NOM;4,51;14,39
épanouir;VER;4,51;14,66
bacon;NOM;4,50;0,47
combiner;VER;4,50;6,35
contexte;NOM;4,50;2,30
coulisse;NOM;4,50;9,05
festin;NOM;4,50;5,68
grimace;NOM;4,50;31,49
sentinelle;NOM;4,50;12,57
sniper;NOM;4,50;0,00
calomnie;NOM;4,49;3,92
divertir;VER;4,49;4,26
figer;VER;4,49;33,18
ligoter;VER;4,49;5,07
passerelle;NOM;4,49;11,49
vibration;NOM;4,49;12,64
antidote;NOM;4,48;1,35
indifférent;ADJ;4,48;30,14
obscène;ADJ;4,48;13,04
relativement;ADV;4,48;8,65
transformation;NOM;4,48;6,22
compréhensible;ADJ;4,47;3,04
flairer;VER;4,47;14,73
gifle;NOM;4,47;16,01
salé;ADJ;4,47;11,01
sous-marin;ADJ;4,47;5,00
transaction;NOM;4,47;1,28
abbé;NOM;4,46;33,51
accumuler;VER;4,46;24,53
bercer;VER;4,46;18,04
complet;NOM;4,46;10,54
concitoyen;NOM;4,46;1,62
damner;VER;4,46;3,78
dinosaure;NOM;4,46;0,68
envoi;NOM;4,46;6,96
gendarmerie;NOM;4,46;9,32
inhumain;ADJ;4,46;8,85
livreur;NOM;4,46;3,99
rincer;VER;4,46;11,15
éjecter;VER;4,46;3,18
battu;ADJ;4,45;11,82
canyon;NOM;4,45;0,88
connexion;NOM;4,45;0,95
frôler;VER;4,45;25,41
ketchup;NOM;4,45;0,54
nostalgie;NOM;4,45;20,07
outre;NOM;4,45;24,59
proviseur;NOM;4,45;3,58
charlatan;NOM;4,44;1,08
dix-huit;ADJ:num;4,44;31,69
fessée;NOM;4,44;1,76
foulard;NOM;4,44;19,19
solliciter;VER;4,44;11,82
taré;ADJ;4,44;1,08
hip;ONO;4,43;1,22
intermédiaire;NOM;4,43;7,30
joueur;ADJ;4,43;4,05
miraculeux;ADJ;4,43;9,26
parquet;NOM;4,43;22,43
bouillie;NOM;4,42;9,73
enlacer;VER;4,42;15,88
exemplaire;ADJ;4,42;9,12
hygiène;NOM;4,42;6,35
présidentiel;ADJ;4,42;1,96
short;NOM;4,42;8,24
traducteur;NOM;4,42;3,51
transpercer;VER;4,42;8,11
voulu;ADJ;4,42;9,12
banquet;NOM;4,41;5,88
cascade;NOM;4,41;11,55
chaton;NOM;4,41;4,66
coussin;NOM;4,41;22,70
daigner;VER;4,41;9,39
effroyable;ADJ;4,41;8,99
enthousiaste;ADJ;4,41;7,70
faufiler;VER;4,41;17,30
hypocrisie;NOM;4,41;5,61
mélancolique;ADJ;4,41;16,62
élu;NOM;4,41;5,81
lacet;NOM;4,40;13,78
nounou;NOM;4,40;5,00
vagin;NOM;4,40;2,16
convaincant;ADJ;4,39;4,26
esquiver;VER;4,39;8,38
gratis;ADV;4,39;3,11
mienne;ADJ:pos;4,39;1,22
subitement;ADV;4,39;15,54
talentueux;ADJ;4,39;0,95
chalet;NOM;4,38;8,11
curieux;NOM;4,38;10,61
héro;NOM;4,38;1,35
illustre;ADJ;4,38;9,66
pointu;ADJ;4,38;21,62
rame;NOM;4,38;11,55
sachet;NOM;4,38;5,41
trimer;VER;4,38;3,31
vache;ADJ;4,38;8,11
violet;ADJ;4,38;26,28
bourre;NOM;4,37;6,49
comptabilité;NOM;4,37;4,53
conception;NOM;4,37;11,55
incendier;VER;4,37;5,81
lésion;NOM;4,37;1,28
mentalement;ADV;4,37;6,42
naval;ADJ;4,37;8,78
nouille;NOM;4,37;4,26
tonneau;NOM;4,37;12,16
télécommande;NOM;4,37;0,27
attarder;VER;4,36;29,39
ferraille;NOM;4,36;13,72
pioche;NOM;4,36;6,42
pourriture;NOM;4,36;6,89
sensationnel;ADJ;4,36;3,45
cendrier;NOM;4,35;14,73
intrus;NOM;4,35;5,47
commerçant;NOM;4,34;16,28
imprudent;ADJ;4,34;4,80
musicien;ADJ;4,34;4,66
nappe;NOM;4,34;25,68
nombril;NOM;4,34;5,54
raffiné;ADJ;4,34;6,15
sanctuaire;NOM;4,34;6,42
taxe;NOM;4,34;1,82
éclairage;NOM;4,34;12,77
équipier;NOM;4,34;1,08
bridge;NOM;4,33;4,12
cache;NOM;4,33;4,05
diversion;NOM;4,33;6,22
prélèvement;NOM;4,33;1,28
rôti;NOM;4,33;3,24
anguille;NOM;4,32;3,31
caissier;NOM;4,32;7,09
compositeur;NOM;4,32;3,38
condamné;ADJ;4,32;5,95
firme;NOM;4,32;2,70
obsèques;NOM;4,32;4,80
gelée;NOM;4,31;7,57
porteur;ADJ;4,31;11,15
velours;NOM;4,31;35,88
enfouir;VER;4,30;26,76
grillé;ADJ;4,30;7,57
lièvre;NOM;4,30;7,03
malhonnête;ADJ;4,30;1,82
objectif;ADJ;4,30;3,72
pet;NOM;4,30;5,41
poilu;ADJ;4,30;9,05
religieux;NOM;4,30;15,88
vous-mêmes;PRO:per;4,30;1,55
amusement;NOM;4,29;7,30
communiqué;NOM;4,29;8,99
communisme;NOM;4,29;9,66
diplômer;VER;4,29;0,27
intestin;NOM;4,29;3,92
klaxonner;VER;4,29;3,24
orchestrer;VER;4,29;1,08
résurrection;NOM;4,29;8,11
bien-être;NOM;4,28;8,78
collant;NOM;4,28;4,46
diplomatique;ADJ;4,28;10,00
dériver;VER;4,28;11,42
gymnase;NOM;4,28;2,43
tampon;NOM;4,28;8,72
utilité;NOM;4,28;7,09
cobaye;NOM;4,27;0,95
comprimé;NOM;4,27;3,99
enseignement;NOM;4,27;12,50
mention;NOM;4,27;6,01
paumer;VER;4,27;8,92
présidence;NOM;4,27;5,95
sierra;NOM;4,27;3,51
traître;ADJ;4,27;5,95
trouer;VER;4,27;11,76
aquarium;NOM;4,26;5,88
argile;NOM;4,26;9,66
ceux-ci;PRO:dem;4,26;20,95
crucifier;VER;4,26;2,77
dégoûtant;NOM;4,26;2,16
moniteur;NOM;4,26;5,61
virginité;NOM;4,26;3,58
assigner;VER;4,25;4,93
autrichien;NOM;4,25;8,51
diable;ONO;4,25;2,91
exploitation;NOM;4,25;6,82
fortement;ADV;4,25;15,68
fédéral;NOM;4,25;0,14
greffe;NOM;4,25;5,41
imitation;NOM;4,25;7,30
