lemme;upos;freqlemfilms;freqlemlivres
beaucoup;ADV;626,00;461,42
revenir;VER;618,62;490,54
donc;CON;612,51;445,88
plaire;VER;607,21;139,80
maison;NOM;605,75;575,34
gens;NOM;594,29;409,39
après;PRE;593,92;821,55
nuit;NOM;586,54;738,24
comme;ADV;577,64;365,68
personne;PRO:ind;577,60;312,16
ah;ONO;576,53;297,16
soir;NOM;575,70;562,64
nom;NOM;570,67;395,00
bonjour;NOM;570,57;51,55
jouer;VER;570,12;337,23
comment;CON;558,33;241,35
finir;VER;557,61;417,97
peur;NOM;557,21;311,69
un;PRO:ind;554,76;329,53
parce que;CON;548,52;327,43
perdre;VER;546,08;377,36
maman;NOM;540,21;144,39
sentir;VER;535,40;718,78
ouais;ADV;533,02;39,05
rentrer;VER;532,51;279,93
avant;PRE;529,51;574,32
nos;ADJ:pos;524,63;579,19
bon;ONO;521,22;109,86
problème;NOM;520,07;95,00
argent;NOM;515,10;194,39
quelle;ADJ:int;512,55;244,39
vivre;VER;510,19;460,34
rendre;VER;508,81;468,11
tenir;VER;504,69;741,22
cet;ADJ:dem;499,91;497,50
main;NOM;499,60;1229,39
cela;PRO:dem;492,56;741,82
vite;ADV;491,64;351,89
oublier;VER;486,96;286,96
air;NOM;485,18;690,81
depuis;PRE;483,95;542,64
fils;NOM;480,15;247,64
travailler;VER;479,49;202,70
moins;ADV;478,75;718,18
tête;NOM;475,87;923,45
autre;PRO:ind;473,33;661,82
coup;NOM;471,82;837,70
écouter;VER;470,93;314,05
raison;NOM;467,94;308,78
manger;VER;467,82;280,61
mort;NOM;460,05;452,70
amour;NOM;458,27;403,92
mal;ADV;453,95;349,46
entrer;VER;450,11;398,38
devenir;VER;438,57;533,51
hein;ONO;437,20;88,45
commencer;VER;436,83;421,89
moment;NOM;433,59;688,24
dernier;ADJ;431,08;403,11
voiture;NOM;429,40;283,11
demain;ADV;425,85;134,12
elles;PRO:per;420,51;605,14
payer;VER;416,68;150,20
tirer;VER;415,14;383,24
ouvrir;VER;413,32;492,50
oeil;NOM;413,04;1234,59
fait;NOM;412,07;355,54
changer;VER;411,99;246,49
question;NOM;411,82;328,45
tomber;VER;407,82;441,42
assez;ADV;407,75;420,14
même;ADJ;402,93;804,80
foutre;VER;400,67;172,30
excuser;VER;399,19;61,82
affaire;NOM;393,83;253,38
dormir;VER;392,09;259,05
combien;ADV;390,58;108,04
frère;NOM;390,39;216,35
travail;NOM;389,83;263,45
idée;NOM;389,77;328,45
eh;ONO;386,00;176,62
famille;NOM;384,92;274,39
truc;NOM;381,34;87,77
trois;ADJ:num;380,80;660,34
tant;ADV;380,34;436,42
merci;NOM;379,38;53,51
ni;CON;377,64;662,36
premier;ADJ;376,98;672,57
tous;PRO:ind;376,64;238,72
occuper;VER;375,14;219,80
entre;PRE;372,72;833,99
marcher;VER;364,37;325,61
chance;NOM;360,60;136,35
aujourd'hui;ADV;360,17;158,24
envoyer;VER;360,16;177,64
histoire;NOM;359,92;359,53
tard;ADV;350,38;344,26
apprendre;VER;348,47;286,69
minute;NOM;342,28;201,42
boire;VER;339,05;274,32
garder;VER;338,40;257,50
quelques;ADJ:ind;337,35;732,57
type;NOM;334,85;184,19
porte;NOM;333,85;617,43
tout;NOM;330,70;281,01
montrer;VER;327,33;276,55
mal;NOM;326,58;193,92
mec;NOM;325,54;72,30
asseoir;VER;322,71;395,27
fou;ADJ;321,31;164,32
porter;VER;319,98;474,93
année;NOM;316,25;375,54
sous;PRE;315,49;1032,70
souvenir;VER;315,05;215,41
prêt;ADJ;314,64;121,28
contre;PRE;313,71;591,15
prier;VER;313,12;105,74
pendant;PRE;312,62;450,14
mois;NOM;312,31;304,86
servir;VER;309,81;286,22
madame;NOM;307,36;203,45
putain;NOM;306,74;40,41
écrire;VER;305,92;341,82
part;NOM;305,89;320,41
eau;NOM;305,74;459,86
sang;NOM;304,75;207,30
place;NOM;301,30;468,58
espérer;VER;301,08;134,93
désoler;VER;297,27;14,46
jeune;ADJ;297,01;569,19
personne;NOM;296,74;209,80
eux;PRO:per;295,35;504,26
retrouver;VER;295,17;416,22
ville;NOM;295,14;352,97
terre;NOM;294,45;452,91
gagner;VER;294,44;180,88
semaine;NOM;290,85;197,50
acheter;VER;290,70;148,38
longtemps;ADV;290,36;335,54
gars;NOM;289,63;59,26
chambre;NOM;288,64;413,31
hé;ONO;288,29;30,00
côté;NOM;285,99;566,49
leur;PRO:per;283,82;427,50
leur;PRO:pos;283,82;427,50
vieux;ADJ;282,20;512,91
rappeler;VER;281,75;202,23
lire;VER;281,09;324,80
cas;NOM;280,59;217,36
mot;NOM;279,55;553,78
seulement;ADV;279,25;397,97
voici;PRE;277,59;97,30
salut;NOM;277,42;61,82
monter;VER;277,32;404,59
désolé;ADJ;276,66;12,43
quitter;VER;276,23;318,72
police;NOM;276,21;83,72
suite;NOM;275,90;275,81
matin;NOM;275,01;396,76
emmener;VER;272,71;105,47
toucher;VER;270,27;190,27
continuer;VER;269,95;282,77
gros;ADJ;266,95;353,45
enfin;ADV;265,83;440,27
mari;NOM;264,15;124,26
là-bas;ADV;263,15;117,70
revoir;NOM;262,05;36,01
importer;VER;259,37;173,11
papa;NOM;259,01;77,16
puis;CON;256,19;836,42
train;NOM;255,28;288,65
manquer;VER;253,94;197,64
raconter;VER;253,84;261,89
ensemble;ADV;253,47;145,07
juste;ADV;252,71;109,46
mauvais;ADJ;252,69;200,61
film;NOM;252,66;74,12
répondre;VER;251,57;466,76
garçon;NOM;251,51;262,50
peu;ADV;250,97;563,58
corps;NOM;250,15;480,34
celui;PRO:dem;250,13;319,19
autres;PRO:ind;249,70;375,14
heureux;ADJ;248,45;190,00
loin;ADV;248,34;452,36
sauver;VER;246,54;99,05
chaque;ADJ:ind;246,29;486,35
retourner;VER;245,35;290,88
