lemme;genre;freq
ego;m;1,22
errements;m;1,22
esquimau;m;1,22
estimation;f;1,22
fakir;m;1,22
faux-fuyant;m;1,22
fornication;f;1,22
fouaille;f;1,22
fuyant;m;1,22
fêtard;m;1,22
garçonnière;f;1,22
gigue;f;1,22
glouglou;m;1,22
graillon;m;1,22
gravillon;m;1,22
gravitation;f;1,22
grimoire;m;1,22
grisbi;m;1,22
grisou;m;1,22
guêpière;f;1,22
géo;f;1,22
hachis;m;1,22
hamster;m;1,22
harangue;f;1,22
haut-commandement;m;1,22
hostellerie;f;1,22
impala;m;1,22
infraction;f;1,22
inhibition;f;1,22
intercesseur;m;1,22
internement;m;1,22
interphone;m;1,22
interviewer;m;1,22
judo;m;1,22
kirsch;m;1,22
lamento;m;1,22
leitmotiv;m;1,22
libido;f;1,22
loup-garou;m;1,22
lunch;m;1,22
lynx;m;1,22
maie;f;1,22
manant;m;1,22
marmotte;f;1,22
martre;f;1,22
marâtre;f;1,22
menuiserie;f;1,22
mercurochrome;m;1,22
mister;m;1,22
mollusque;m;1,22
mortification;f;1,22
mouillage;m;1,22
mâtine;f;1,22
média;m;1,22
natation;f;1,22
nichée;f;1,22
nihilisme;m;1,22
nord-ouest;m;1,22
nébuleux;f;1,22
obole;f;1,22
obélisque;m;1,22
oesophage;m;1,22
oisillon;m;1,22
opinel;m;1,22
orbe;m;1,22
organdi;m;1,22
ouvrant;m;1,22
paillote;f;1,22
panade;f;1,22
parangon;m;1,22
partialité;f;1,22
passe-partout;m;1,22
pendentif;m;1,22
pensum;m;1,22
pestilence;f;1,22
pipeau;m;1,22
poix;f;1,22
porcherie;f;1,22
pornographie;f;1,22
porte-avions;m;1,22
procréation;f;1,22
psychiatrie;f;1,22
puritanisme;m;1,22
pâmoison;f;1,22
pédagogie;f;1,22
quant-à-soi;m;1,22
quintessence;f;1,22
quintette;m;1,22
rancard;m;1,22
rapin;m;1,22
ravioli;m;1,22
relativité;f;1,22
rotond;f;1,22
roussi;m;1,22
sacrificateur;m;1,22
sage-femme;f;1,22
sagouin;m;1,22
salaison;f;1,22
saussaie;f;1,22
science-fiction;f;1,22
scoop;m;1,22
sentimentalité;f;1,22
servilité;f;1,22
shako;m;1,22
soliloque;m;1,22
sosie;m;1,22
soufflé;m;1,22
souffre-douleur;m;1,22
starlette;f;1,22
stéréotype;m;1,22
séisme;m;1,22
taloche;f;1,22
tapotement;m;1,22
taupinière;f;1,22
terrorisme;m;1,22
textile;m;1,22
tirette;f;1,22
tournesol;m;1,22
treillage;m;1,22
trip;m;1,22
tripot;m;1,22
troupier;m;1,22
tubulure;f;1,22
vertex;m;1,22
vichy;m;1,22
vide-ordures;m;1,22
videur;m;1,22
viseur;m;1,22
voirie;f;1,22
vétille;f;1,22
wharf;m;1,22
élargissement;m;1,22
éprouvette;f;1,22
épître;f;1,22
étamine;f;1,22
étourneau;m;1,22
étrenne;f;1,22
accouchée;f;1,15
acompte;m;1,15
albatros;m;1,15
aloès;m;1,15
amnésie;f;1,15
amourette;f;1,15
ampli;m;1,15
amusette;f;1,15
anisette;f;1,15
aqueduc;m;1,15
arrière-pays;m;1,15
artisanat;m;1,15
asservissement;m;1,15
bacille;m;1,15
balbutiement;m;1,15
bandelette;f;1,15
baobab;m;1,15
beuglement;m;1,15
bibi;m;1,15
bilboquet;m;1,15
blanchet;m;1,15
bobonne;f;1,15
bougeotte;f;1,15
bouthéon;m;1,15
brandebourg;m;1,15
broquille;f;1,15
burlingue;m;1,15
bégonia;m;1,15
cabriole;f;1,15
caissette;f;1,15
canapé-lit;m;1,15
canine;f;1,15
capucin;m;1,15
cardon;m;1,15
carie;f;1,15
cellulite;f;1,15
centurie;f;1,15
chapka;f;1,15
chausse;f;1,15
ciboire;m;1,15
clapet;m;1,15
cohabitation;f;1,15
confédération;f;1,15
congère;f;1,15
conjugaison;f;1,15
consécration;f;1,15
contrefaçon;f;1,15
contrevent;m;1,15
cotisation;f;1,15
coucherie;f;1,15
crampon;m;1,15
craquelure;f;1,15
creuset;m;1,15
crible;m;1,15
cèpe;m;1,15
césar;m;1,15
datcha;f;1,15
diacre;m;1,15
diminution;f;1,15
diocèse;m;1,15
doigté;m;1,15
dolman;m;1,15
dominante;f;1,15
dona;f;1,15
donné;m;1,15
décade;f;1,15
décollage;m;1,15
dégradé;m;1,15
dégueulis;m;1,15
dégénérescence;f;1,15
démesure;f;1,15
dénomination;f;1,15
détracteur;m;1,15
déviation;f;1,15
exécutant;m;1,15
factotum;m;1,15
fez;m;1,15
flamant;m;1,15
fleuron;m;1,15
fléchissement;m;1,15
foison;f;1,15
formulation;f;1,15
frimas;m;1,15
galion;m;1,15
gargouillement;m;1,15
gent;f;1,15
germain;m;1,15
gniard;m;1,15
gonflement;m;1,15
gringue;m;1,15
guimpe;f;1,15
guipure;f;1,15
gâteux;m;1,15
génocide;m;1,15
gérance;f;1,15
holocauste;m;1,15
holà;m;1,15
honorabilité;f;1,15
immersion;f;1,15
impuissant;m;1,15
incandescence;f;1,15
ingénuité;f;1,15
insatisfaction;f;1,15
insuline;f;1,15
interpellation;f;1,15
judaïsme;m;1,15
kaki;m;1,15
loyalisme;m;1,15
maldonne;f;1,15
mandoline;f;1,15
marbrure;f;1,15
marmiton;m;1,15
maroquinerie;f;1,15
merisier;m;1,15
mirliton;m;1,15
modernisme;m;1,15
moujik;m;1,15
moulage;m;1,15
muscade;f;1,15
mutinerie;f;1,15
métairie;f;1,15
métissage;m;1,15
narcissisme;m;1,15
neurone;m;1,15
nord-africain;m;1,15
otarie;f;1,15
ouaille;f;1,15
papille;f;1,15
paranoïa;f;1,15
parution;f;1,15
passe-passe;m;1,15
pendulette;f;1,15
pilastre;m;1,15
piquette;f;1,15
plaid;m;1,15
plaisant;m;1,15
planisphère;m;1,15
plastic;m;1,15
plumitif;m;1,15
poivron;m;1,15
portefaix;m;1,15
potiche;f;1,15
poudroiement;m;1,15
poulette;f;1,15
pressoir;m;1,15
psychisme;m;1,15
pubis;m;1,15
pucelage;m;1,15
putréfaction;f;1,15
pénitencier;m;1,15
périphérique;m;1,15
pétillement;m;1,15
quadrature;f;1,15
quatre-saisons;f;1,15
qui-vive;m;1,15
quittance;f;1,15
raki;m;1,15
reconquête;f;1,15
remboursement;m;1,15
renne;m;1,15
repérage;m;1,15
ressaut;m;1,15
resserrement;m;1,15
retable;m;1,15
roblot;m;1,15
rocking-chair;m;1,15
rogaton;m;1,15
réglage;m;1,15
rôtie;f;1,15
sensiblerie;f;1,15
simultanéité;f;1,15
soixante-dix;m;1,15
sommelier;m;1,15
sonnaille;f;1,15
sous-secrétaire;m;1,15
spadassin;m;1,15
spiritualité;f;1,15
stuka;m;1,15
stéréo;f;1,15
sujétion;f;1,15
sépia;f;1,15
tabor;m;1,15
tangente;f;1,15
tanneur;m;1,15
tapette;f;1,15
teigne;f;1,15
tournelle;f;1,15
transcription;f;1,15
transfuge;m;1,15
truquage;m;1,15
trémolo;m;1,15
tub;m;1,15
tuilerie;f;1,15
tétine;f;1,15
uhlan;m;1,15
utile;m;1,15
veinule;f;1,15
vilenie;f;1,15
vindicte;f;1,15
visionnaire;m;1,15
vomissure;f;1,15
ébahissement;m;1,15
ébriété;f;1,15
échasse;f;1,15
élucubration;f;1,15
émancipation;f;1,15
émigration;f;1,15
abattis;m;1,08
acquéreur;m;1,08
agissement;m;1,08
amigo;m;1,08
amphi;m;1,08
amulette;f;1,08
amérique;f;1,08
anathème;m;1,08
antéchrist;m;1,08
apostolat;m;1,08
appendicite;f;1,08
archevêché;m;1,08
arpion;m;1,08
arraché;m;1,08
arrière-grand-parent;m;1,08
aréopage;m;1,08
aspic;m;1,08
atermoiement;m;1,08
athénien;m;1,08
avarie;f;1,08
baccara;m;1,08
bakélite;f;1,08
baliveau;m;1,08
banjo;m;1,08
barbeau;m;1,08
baroque;m;1,08
bartavelle;f;1,08
bastringue;m;1,08
bataclan;m;1,08
bateleur;m;1,08
baveux;m;1,08
berlure;f;1,08
bisou;m;1,08
bolchevisme;m;1,08
bourricot;m;1,08
bourré;f;1,08
bowling;m;1,08
butane;m;1,08
butor;m;1,08
bécasse;f;1,08
cabri;m;1,08
carnation;f;1,08
castel;m;1,08
centuple;m;1,08
certif;m;1,08
chancre;m;1,08
charivari;m;1,08
charlatan;m;1,08
chien-loup;m;1,08
chiqué;m;1,08
chiure;f;1,08
cigarillo;m;1,08
circonvolution;f;1,08
clapotement;m;1,08
classification;f;1,08
clic;m;1,08
cocker;m;1,08
colifichet;m;1,08
cornue;f;1,08
corral;m;1,08
corso;m;1,08
croupion;m;1,08
crémaillère;f;1,08
demi-journée;f;1,08
dessus-de-lit;m;1,08
devin;m;1,08
dilatation;f;1,08
divination;f;1,08
droguet;m;1,08
déclivité;f;1,08
décoction;f;1,08
déglutition;f;1,08
dépannage;m;1,08
désespérance;f;1,08
déveine;f;1,08
embêtement;m;1,08
en-cas;m;1,08
enluminure;f;1,08
ergot;m;1,08
escient;m;1,08
esthétisme;m;1,08
ex-mari;m;1,08
extermination;f;1,08
fa;m;1,08
faon;m;1,08
fausseté;f;1,08
feuillette;f;1,08
feulement;m;1,08
fonts;m;1,08
forum;m;1,08
fragrance;f;1,08
franchissement;m;1,08
fusilier-marin;m;1,08
félin;m;1,08
galure;m;1,08
garde-boue;m;1,08
gardon;m;1,08
gardénal;m;1,08
gazier;m;1,08
goualante;f;1,08
gouape;f;1,08
gramophone;m;1,08
gras-double;m;1,08
graveur;m;1,08
grillade;f;1,08
griveton;m;1,08
gueuleton;m;1,08
haut-fond;m;1,08
hibiscus;m;1,08
horlogerie;f;1,08
houseau;m;1,08
idolâtrie;f;1,08
impiété;f;1,08
inimitié;f;1,08
intégration;f;1,08
jambage;m;1,08
joseph;m;1,08
laïus;m;1,08
linteau;m;1,08
liseron;m;1,08
loche;f;1,08
lotus;m;1,08
luisance;f;1,08
législateur;m;1,08
magister;m;1,08
magnésium;m;1,08
malfaisance;f;1,08
mangeoire;f;1,08
masculin;m;1,08
mille-feuille;m;1,08
mime;m;1,08
min;m;1,08
mironton;m;1,08
morosité;f;1,08
morte-saison;f;1,08
mulâtre;m;1,08
mâche;f;1,08
mélo;m;1,08
mélèze;m;1,08
métallo;m;1,08
météorologie;f;1,08
nationalisation;f;1,08
neutralisation;f;1,08
notation;f;1,08
négligé;m;1,08
obésité;f;1,08
oreillette;f;1,08
ormeau;m;1,08
osmose;f;1,08
ostracisme;m;1,08
pagaie;f;1,08
palmarès;m;1,08
papas;m;1,08
papy;m;1,08
paros;m;1,08
peccadille;f;1,08
pendaison;f;1,08
pendeloque;f;1,08
phobie;f;1,08
play-boy;m;1,08
plissement;m;1,08
plongeoir;m;1,08
podium;m;1,08
pogrom;m;1,08
ponction;f;1,08
porno;m;1,08
porte-bonheur;m;1,08
positif;m;1,08
poucet;m;1,08
profanation;f;1,08
prolifération;f;1,08
prototype;m;1,08
préavis;m;1,08
précipité;m;1,08
préliminaire;m;1,08
pseudo;m;1,08
psyché;f;1,08
pugilat;m;1,08
purification;f;1,08
péroraison;f;1,08
rani;f;1,08
ratification;f;1,08
recensement;m;1,08
refoulement;m;1,08
remaniement;m;1,08
resserre;f;1,08
retourné;m;1,08
risette;f;1,08
rivet;m;1,08
rotative;f;1,08
rouge-gorge;m;1,08
roule;m;1,08
roupillon;m;1,08
ruminant;m;1,08
rusticité;f;1,08
résurgence;f;1,08
samaritaine;f;1,08
sanie;f;1,08
santal;m;1,08
saturation;f;1,08
sauna;m;1,08
sauternes;m;1,08
schnaps;m;1,08
serf;m;1,08
sevrage;m;1,08
shantung;m;1,08
side-car;m;1,08
signalisation;f;1,08
somptuosité;f;1,08
soudure;f;1,08
soustraction;f;1,08
statu quo;m;1,08
suivi;m;1,08
supplique;f;1,08
suprématie;f;1,08
surhomme;m;1,08
survivance;f;1,08
sycomore;m;1,08
syndic;m;1,08
sépulcre;m;1,08
sérénade;f;1,08
tambourin;m;1,08
tangage;m;1,08
tantôt;m;1,08
tocard;m;1,08
torgnole;f;1,08
traumatisme;m;1,08
travelo;m;1,08
trolleybus;m;1,08
tronçonneur;f;1,08
trust;m;1,08
té;m;1,08
téléscripteur;m;1,08
têt;m;1,08
vaporisateur;m;1,08
verdeur;f;1,08
vermillon;m;1,08
vécés;m;1,08
vélocité;f;1,08
yoga;m;1,08
zibeline;f;1,08
écarlate;f;1,08
éthique;f;1,08
étymologie;f;1,08
abat;m;1,01
accommodement;m;1,01
adhérent;m;1,01
adja;m;1,01
agrès;m;1,01
alfa;m;1,01
alliage;m;1,01
aléa;m;1,01
année-lumière;f;1,01
assoupissement;m;1,01
astronomie;f;1,01
auriculaire;m;1,01
badigeon;m;1,01
basalte;m;1,01
basilic;m;1,01
beau-fils;m;1,01
bellâtre;m;1,01
belon;f;1,01
bigre;m;1,01
binocle;m;1,01
bitte;f;1,01
blanquette;f;1,01
blindage;m;1,01
bosco;m;1,01
bouffarde;f;1,01
bouffonnerie;f;1,01
bouvier;m;1,01
boxon;m;1,01
brocard;m;1,01
bémol;m;1,01
caboteur;m;1,01
cadène;f;1,01
cagnotte;f;1,01
cambrure;f;1,01
camée;m;1,01
camériste;f;1,01
caraco;m;1,01
chassé-croisé;m;1,01
chinetoque;m;1,01
chou-fleur;m;1,01
chouia;m;1,01
citronnade;f;1,01
claustration;f;1,01
clinquant;m;1,01
cm;m;1,01
coca-cola;m;1,01
cocorico;m;1,01
container;m;1,01
conteste;m;1,01
continuation;f;1,01
couac;m;1,01
couguar;m;1,01
couvreur;m;1,01
cresson;m;1,01
croisette;f;1,01
cueva;f;1,01
culbute;f;1,01
cyclisme;m;1,01
céleri;m;1,01
demi-seconde;f;1,01
dernier-né;m;1,01
diam;m;1,01
ducon;m;1,01
durillon;m;1,01
découpure;f;1,01
dédoublement;m;1,01
démiurge;m;1,01
embrayage;m;1,01
empoignade;f;1,01
encensoir;m;1,01
encorbellement;m;1,01
entourloupe;f;1,01
entrecôte;f;1,01
espièglerie;f;1,01
expectative;f;1,01
falzar;m;1,01
fane;f;1,01
fertilité;f;1,01
festivité;f;1,01
fibrome;m;1,01
fondu;m;1,01
forban;m;1,01
fortif;f;1,01
fourniment;m;1,01
franciscain;m;1,01
fripier;m;1,01
funiculaire;m;1,01
férule;f;1,01
galérien;m;1,01
gamma;m;1,01
ganglion;m;1,01
gaspard;m;1,01
gaudriole;f;1,01
genèse;f;1,01
geyser;m;1,01
gibus;m;1,01
gigolpince;m;1,01
gin-fizz;m;1,01
gnole;f;1,01
gnouf;m;1,01
gomina;f;1,01
gorgeon;m;1,01
gouge;f;1,01
goulag;m;1,01
greluche;f;1,01
gribouillis;m;1,01
grimpette;f;1,01
grumeau;m;1,01
grêlon;m;1,01
génuflexion;f;1,01
haras;m;1,01
hauban;m;1,01
haut-le-coeur;m;1,01
heaume;m;1,01
hernie;f;1,01
hiatus;m;1,01
hippopotame;m;1,01
huitaine;f;1,01
imagier;m;1,01
implication;f;1,01
imploration;f;1,01
imprécision;f;1,01
inaptitude;f;1,01
indiscipline;f;1,01
instantané;m;1,01
intercession;f;1,01
jambonneau;m;1,01
jugeote;f;1,01
laverie;f;1,01
levrette;f;1,01
lionceau;m;1,01
littérateur;m;1,01
locution;f;1,01
lotissement;m;1,01
loupiote;f;1,01
lunule;f;1,01
lutin;m;1,01
malotru;m;1,01
marasme;m;1,01
masochisme;m;1,01
meccano;m;1,01
mensualité;f;1,01
menée;f;1,01
mijaurée;f;1,01
millésime;m;1,01
minerai;m;1,01
misogynie;f;1,01
mitraillade;f;1,01
mièvrerie;f;1,01
molette;f;1,01
mouise;f;1,01
muflerie;f;1,01
munificence;f;1,01
ménopause;f;1,01
narguilé;m;1,01
naturalisation;f;1,01
nomenclature;f;1,01
négrillon;m;1,01
odyssée;f;1,01
opus;m;1,01
ouighour;m;1,01
ouï-dire;m;1,01
pachyderme;m;1,01
pampre;m;1,01
passementerie;f;1,01
pastiche;m;1,01
perm;f;1,01
plâtrier;m;1,01
poney;m;1,01
porte-glaive;m;1,01
potentiel;m;1,01
prescience;f;1,01
primevère;f;1,01
principauté;f;1,01
probloque;m;1,01
prodigalité;f;1,01
prostration;f;1,01
protectorat;m;1,01
prédestination;f;1,01
pâques;m;1,01
péage;m;1,01
pédalier;m;1,01
pétunia;m;1,01
quadrillage;m;1,01
quadrupède;m;1,01
quintal;m;1,01
rachat;m;1,01
raffinerie;f;1,01
ramdam;m;1,01
ramier;m;1,01
ratage;m;1,01
rave;f;1,01
ravier;m;1,01
recel;m;1,01
refroidissement;m;1,01
remontant;m;1,01
reposoir;m;1,01
romarin;m;1,01
roquette;f;1,01
roulier;m;1,01
ruisselet;m;1,01
révérend;m;1,01
saga;f;1,01
saint-cyrien;m;1,01
saligaud;m;1,01
salsifis;m;1,01
sauf-conduit;m;1,01
saxo;m;1,01
scalpel;m;1,01
scarlatin;f;1,01
scribouillard;m;1,01
secondaire;m;1,01
simili;m;1,01
sinus;m;1,01
social;m;1,01
sourd-muet;m;1,01
sous-préfet;m;1,01
sphincter;m;1,01
stalinisme;m;1,01
strip-tease;m;1,01
superficie;f;1,01
surgissement;m;1,01
sweater;m;1,01
syphilis;f;1,01
sémaphore;m;1,01
targette;f;1,01
teckel;m;1,01
toise;f;1,01
tout-paris;m;1,01
tranquillisant;m;1,01
transept;m;1,01
turquoise;f;1,01
typhoïde;f;1,01
téléviseur;m;1,01
tétée;f;1,01
ursuline;f;1,01
valetaille;f;1,01
valve;f;1,01
vulnérabilité;f;1,01
wagon-restaurant;m;1,01
yali;m;1,01
zombie;m;1,01
éclaboussement;m;1,01
étampe;f;1,01
étirement;m;1,01
ablette;f;0,95
aboutissant;m;0,95
abréviation;f;0,95
acidité;f;0,95
affluent;m;0,95
aiglon;m;0,95
alcoolisme;m;0,95
alluvion;f;0,95
alu;m;0,95
ameublement;m;0,95
amygdale;f;0,95
ankylose;f;0,95
apoplexie;f;0,95
appas;m;0,95
archiprêtre;m;0,95
arpent;m;0,95
arrière-fond;m;0,95
arçon;m;0,95
assiettée;f;0,95
assiégeant;m;0,95
auguste;m;0,95
auspice;m;0,95
bain-marie;m;0,95
banditisme;m;0,95
basane;f;0,95
bavette;f;0,95
bectance;f;0,95
biroute;f;0,95
bis;m;0,95
biseau;m;0,95
blondinet;m;0,95
bombarde;f;0,95
boots;m;0,95
bourde;f;0,95
bref;m;0,95
brisure;f;0,95
brouillage;m;0,95
bâbord;m;0,95
bâti;m;0,95
cachalot;m;0,95
café-crème;m;0,95
calorie;f;0,95
cancrelat;m;0,95
cannelure;f;0,95
canonnier;m;0,95
caravelle;f;0,95
cari;m;0,95
cassation;f;0,95
casse-dalle;m;0,95
casse-graine;m;0,95
castagne;f;0,95
causse;m;0,95
cerfeuil;m;0,95
cessation;f;0,95
chauffard;m;0,95
cheik;m;0,95
chianti;m;0,95
chiée;f;0,95
chocotte;f;0,95
choral;m;0,95
chêne-liège;m;0,95
cisaille;f;0,95
cithare;f;0,95
cobaye;m;0,95
colin-maillard;m;0,95
comment;m;0,95
complies;f;0,95
conditionnement;m;0,95
confesse;f;0,95
connexion;f;0,95
contre-ordre;m;0,95
cosy;m;0,95
coupe-papier;m;0,95
couveuse;f;0,95
crocus;m;0,95
croquenot;m;0,95
crotale;m;0,95
crucifixion;f;0,95
crédence;f;0,95
cuissot;m;0,95
cyanure;m;0,95
daurade;f;0,95
demi-saison;f;0,95
demi-teinte;f;0,95
disproportion;f;0,95
dissipation;f;0,95
doberman;m;0,95
documentaire;m;0,95
dynamo;f;0,95
défonce;f;0,95
dépravation;f;0,95
déversoir;m;0,95
ectoplasme;m;0,95
embrassement;m;0,95
emporte-pièce;m;0,95
endive;f;0,95
entrechat;m;0,95
enveloppement;m;0,95
esquive;f;0,95
essieux;m;0,95
extincteur;m;0,95
fascicule;m;0,95
fatma;f;0,95
fatuité;f;0,95
fluctuation;f;0,95
forceps;m;0,95
fripe;f;0,95
fusilier;m;0,95
garde-barrière;m;0,95
gentiane;f;0,95
gisement;m;0,95
glèbe;f;0,95
grelottement;m;0,95
grognasse;f;0,95
gâtisme;m;0,95
habitat;m;0,95
havane;m;0,95
henné;m;0,95
hivernage;m;0,95
huerta;f;0,95
immatriculation;f;0,95
impartialité;f;0,95
imprudent;m;0,95
impétuosité;f;0,95
inconstance;f;0,95
infaillibilité;f;0,95
intellect;m;0,95
intelligentsia;f;0,95
inter;m;0,95
jeunette;f;0,95
jonchet;m;0,95
karaté;m;0,95
kraft;m;0,95
lampe-tempête;f;0,95
laser;m;0,95
lavallière;f;0,95
lexique;m;0,95
limitation;f;0,95
lourdaud;m;0,95
lupanar;m;0,95
magistrature;f;0,95
mam;f;0,95
manille;f;0,95
maxi;m;0,95
mendicité;f;0,95
menuet;m;0,95
messer;m;0,95
millième;m;0,95
minium;m;0,95
mitaine;f;0,95
monogramme;m;0,95
montgolfière;f;0,95
mousquet;m;0,95
narcisse;m;0,95
ninas;m;0,95
non-sens;m;0,95
non-être;m;0,95
oeil-de-boeuf;m;0,95
origan;m;0,95
orphéon;m;0,95
oye;f;0,95
pampa;f;0,95
papyrus;m;0,95
parachutage;m;0,95
parcimonie;f;0,95
passereau;m;0,95
pauvrette;f;0,95
petit-beurre;m;0,95
petit-neveu;m;0,95
pilou;m;0,95
piquouse;f;0,95
pisteur;m;0,95
plaisantin;m;0,95
pliure;f;0,95
plâtras;m;0,95
plébiscite;m;0,95
pochoir;m;0,95
polaroïd;m;0,95
poncif;m;0,95
postulat;m;0,95
potiron;m;0,95
pourceau;m;0,95
primauté;f;0,95
propagation;f;0,95
provende;f;0,95
prêt-à-porter;m;0,95
psychose;f;0,95
pâque;f;0,95
pèze;m;0,95
pénicilline;f;0,95
pépinière;f;0,95
pétasse;f;0,95
quinine;f;0,95
ramadan;m;0,95
ravine;f;0,95
recto;m;0,95
reinette;f;0,95
relèvement;m;0,95
rosse;f;0,95
rouerie;f;0,95
roupie;f;0,95
rémouleur;m;0,95
révélateur;m;0,95
sapement;m;0,95
sarbacane;f;0,95
schizophrénie;f;0,95
scorbut;m;0,95
slalom;m;0,95
snack;m;0,95
soeurette;f;0,95
soigneur;m;0,95
solfège;m;0,95
solive;f;0,95
sonde;f;0,95
sournoiserie;f;0,95
sous-titre;m;0,95
stick;m;0,95
strabisme;m;0,95
subversion;f;0,95
succédané;m;0,95
superposition;f;0,95
supputation;f;0,95
suppôt;m;0,95
syndicalisme;m;0,95
séquestre;m;0,95
tambourinement;m;0,95
taïga;f;0,95
tender;m;0,95
terrassement;m;0,95
tiraillement;m;0,95
tisonnier;m;0,95
totalitarisme;m;0,95
tracasserie;f;0,95
tremblote;f;0,95
tricycle;m;0,95
tubard;m;0,95
télescope;m;0,95
tétanos;m;0,95
vagissement;m;0,95
viole;f;0,95
virulence;f;0,95
vis-à-vis;m;0,95
visitation;f;0,95
vénérable;m;0,95
âcreté;f;0,95
échappatoire;f;0,95
écot;m;0,95
égide;f;0,95
émeri;m;0,95
éventreur;m;0,95
abatis;m;0,88
accointance;f;0,88
accostage;m;0,88
acné;f;0,88
affleurement;m;0,88
ajustement;m;0,88
ambages;f;0,88
amputé;m;0,88
anachronisme;m;0,88
annotation;f;0,88
annulation;f;0,88
anorak;m;0,88
anticommunisme;m;0,88
antithèse;f;0,88
aphorisme;m;0,88
arbalétrier;m;0,88
arbitrage;m;0,88
archétype;m;0,88
argumentation;f;0,88
aromate;m;0,88
avant-scène;f;0,88
avenant;m;0,88
bactérie;f;0,88
baladin;m;0,88
balourdise;f;0,88
banderille;f;0,88
barrissement;m;0,88
baston;m;0,88
batiste;f;0,88
baudruche;f;0,88
bazooka;m;0,88
belette;f;0,88
benjoin;m;0,88
black-out;m;0,88
bob;m;0,88
boueux;m;0,88
bourrelier;m;0,88
boyard;m;0,88
boîtier;m;0,88
butée;f;0,88
cabale;f;0,88
calendos;m;0,88
canyon;m;0,88
casse-tête;m;0,88
catch;m;0,88
centurion;m;0,88
chagatte;f;0,88
chambellan;m;0,88
chapelier;m;0,88
chaufferie;f;0,88
chenapan;m;0,88
chierie;f;0,88
chipie;f;0,88
cicindèle;f;0,88
ciguë;f;0,88
cinzano;m;0,88
circonlocution;f;0,88
citronnelle;f;0,88
cockpit;m;0,88
coffrage;m;0,88
commensal;m;0,88
communard;m;0,88
confluent;m;0,88
corpus;m;0,88
corselet;m;0,88
coule;f;0,88
couperose;f;0,88
courge;f;0,88
cousinage;m;0,88
coussinet;m;0,88
crack;m;0,88
crouillat;m;0,88
cure-dent;m;0,88
célérité;f;0,88
dentelure;f;0,88
design;m;0,88
destroyer;m;0,88
diabolo;m;0,88
diesel;m;0,88
digitaline;f;0,88
dingo;m;0,88
dinguerie;f;0,88
discrimination;f;0,88
dix-cors;m;0,88
docte;m;0,88
domesticité;f;0,88
drapé;m;0,88
drink;m;0,88
duperie;f;0,88
débilité;f;0,88
débine;f;0,88
décapotable;f;0,88
déchargement;m;0,88
décibel;m;0,88
désarmement;m;0,88
désavantage;m;0,88
encablure;f;0,88
encerclement;m;0,88
engelure;f;0,88
estafilade;f;0,88
expiation;f;0,88
exécutif;m;0,88
faf;m;0,88
falot;m;0,88
fantasmagorie;f;0,88
fantastique;m;0,88
flamenco;m;0,88
flottant;m;0,88
flétrissure;f;0,88
forcing;m;0,88
franquette;f;0,88
furoncle;m;0,88
galantine;f;0,88
garçonne;f;0,88
gaufrette;f;0,88
gemme;f;0,88
genévrier;m;0,88
gingembre;m;0,88
giroflée;f;0,88
girolle;f;0,88
godille;f;0,88
gog;m;0,88
gouine;f;0,88
gouverne;f;0,88
goémon;m;0,88
grignotement;m;0,88
grossium;m;0,88
gélule;f;0,88
générique;m;0,88
gésier;m;0,88
horion;m;0,88
houille;f;0,88
hydrogène;m;0,88
impolitesse;f;0,88
inconsistance;f;0,88
individualité;f;0,88
insolent;m;0,88
instigation;f;0,88
ivrognerie;f;0,88
jachère;f;0,88
joujoux;m;0,88
journalier;m;0,88
jésus;m;0,88
keuf;f;0,88
khédive;m;0,88
lagon;m;0,88
laitage;m;0,88
lancier;m;0,88
lentisque;m;0,88
levain;m;0,88
lieu-dit;m;0,88
limier;m;0,88
locomotion;f;0,88
longévité;f;0,88
louage;m;0,88
lâcher;m;0,88
mana;m;0,88
mandale;f;0,88
manioc;m;0,88
manitou;m;0,88
marcassin;m;0,88
marketing;m;0,88
marlou;m;0,88
maréchaussée;f;0,88
mascotte;f;0,88
mauviette;f;0,88
mensuel;m;0,88
mignardise;f;0,88
mikado;m;0,88
milord;m;0,88
minauderie;f;0,88
mocheté;f;0,88
molesquine;f;0,88
molleton;m;0,88
morillon;m;0,88
morse;m;0,88
méplat;m;0,88
night-club;m;0,88
nimbe;m;0,88
non-dit;m;0,88
nouba;f;0,88
oméga;m;0,88
opuscule;m;0,88
ouvroir;m;0,88
pack;m;0,88
pal;m;0,88
panonceau;m;0,88
paperasserie;f;0,88
paseo;m;0,88
perforation;f;0,88
peuplement;m;0,88
phosphorescence;f;0,88
photocopie;f;0,88
pietà;f;0,88
pine;f;0,88
pivert;m;0,88
plexus;m;0,88
plié;m;0,88
poivrier;m;0,88
polygone;m;0,88
pot-au-feu;m;0,88
pourrissement;m;0,88
pradel;f;0,88
prurit;m;0,88
pénates;m;0,88
périscope;m;0,88
pêcherie;f;0,88
quasi-totalité;f;0,88
quiproquo;m;0,88
rabiot;m;0,88
radiographie;f;0,88
rainette;f;0,88
ramoneur;m;0,88
ratier;m;0,88
redoute;f;0,88
redoux;m;0,88
reptation;f;0,88
restitution;f;0,88
roulure;f;0,88
ru;m;0,88
rush;m;0,88
réinsertion;f;0,88
rétrécissement;m;0,88
réveille-matin;m;0,88
satrape;m;0,88
sclérose;f;0,88
seiche;f;0,88
sellette;f;0,88
sinoquet;m;0,88
