lemme;genre;freq
aventure;f;84,86
événement;m;84,59
gare;f;84,53
métier;m;84,53
centre;m;84,46
conseil;m;84,46
sein;m;84,05
pointe;f;83,85
tas;m;83,78
police;f;83,72
honte;f;83,45
bain;m;83,04
franc;m;82,84
réalité;f;82,77
éclat;m;82,77
animal;m;82,64
vacance;f;82,57
bateau;m;82,36
pomme;f;82,36
avance;f;82,30
montagne;f;81,82
étoile;f;81,82
rencontre;f;81,76
conscience;f;81,55
course;f;81,22
neige;f;80,88
trace;f;80,27
arrivée;f;80,00
masse;f;79,80
courant;m;79,73
cuir;m;79,19
moitié;f;79,05
vide;m;78,85
mariage;m;78,72
cinéma;m;78,51
poussière;f;78,45
nombre;m;78,38
avion;m;78,04
amitié;f;77,77
bataille;f;77,77
hauteur;f;77,70
note;f;77,43
quart;m;77,30
papa;m;77,16
surprise;f;77,16
autorité;f;77,03
expression;f;76,89
nuage;m;76,82
soirée;f;76,69
repas;m;76,62
foi;f;76,49
taille;f;76,49
port;m;76,42
absence;f;76,28
vitre;f;76,22
froid;m;76,08
poing;m;76,08
poil;m;76,01
faim;f;75,95
importance;f;75,81
médecin;m;75,61
lunette;f;75,27
sortie;f;75,27
volonté;f;74,93
roman;m;74,80
terrain;m;74,73
château;m;74,12
drap;m;74,12
film;m;74,12
terrasse;f;74,05
quai;m;73,99
spectacle;m;73,78
appel;m;73,45
silhouette;f;73,31
combat;m;72,57
flic;m;72,43
prison;f;72,43
blanc;m;72,36
loi;f;72,30
mec;m;72,30
nord;m;72,30
bande;f;72,23
cesse;f;71,96
flamme;f;71,82
pantalon;m;71,76
croix;f;71,62
tache;f;71,28
titre;m;71,22
voie;f;71,01
bon;m;70,95
courage;m;70,34
valise;f;70,34
bien;m;70,20
opération;f;70,20
numéro;m;70,07
douceur;f;70,00
projet;m;70,00
cuisse;f;69,73
solitude;f;69,73
amant;m;69,59
fatigue;f;69,46
horreur;f;69,46
caisse;f;69,39
angoisse;f;68,99
immeuble;m;68,78
intention;f;68,65
dîner;m;68,58
midi;m;68,38
cul;m;68,31
soin;m;68,24
théâtre;m;68,18
manteau;m;68,11
attitude;f;67,91
son;m;67,84
peinture;f;67,64
connaissance;f;67,50
fumée;f;67,36
destin;m;67,23
lune;f;66,69
banc;m;66,42
horizon;m;66,15
allure;f;65,88
mine;f;65,88
parfum;m;65,74
égard;m;65,61
magasin;m;65,54
contact;m;65,47
preuve;f;65,34
avis;m;65,14
membre;m;64,86
goutte;f;64,32
lueur;f;64,19
paysage;m;64,12
fruit;m;64,05
miroir;m;63,99
attente;f;63,85
comité;m;63,65
billet;m;63,58
empire;m;63,51
ensemble;m;63,45
paupière;f;63,45
position;f;63,38
victoire;f;63,24
élément;m;63,04
étude;f;63,04
lait;m;62,91
merde;f;62,77
distance;f;62,43
marché;m;62,43
allée;f;62,36
mademoiselle;f;62,36
kilomètre;m;62,23
société;f;62,23
caractère;m;62,16
couverture;f;62,03
salut;m;61,82
tendresse;f;61,69
veste;f;61,62
bar;m;61,35
boule;f;61,22
souci;m;61,22
boulevard;m;61,15
printemps;m;60,88
tapis;m;60,88
folie;f;60,74
maladie;f;60,68
aile;f;60,47
but;m;60,41
sueur;f;60,34
seigneur;m;60,14
décision;f;60,00
menton;m;60,00
terme;m;59,73
déjeuner;m;59,66
émotion;f;59,59
chasse;f;59,46
gars;m;59,26
qualité;f;59,12
sort;m;58,92
expérience;f;58,72
